,model,BISa,BISm,BISn,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,DFD
0,Apertus-8B-Instruct-2509,40.0,56.0,55.0,3.0,3.0,3.0,3.0,3.0625,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5
1,Falcon-3-10B-Instruct,29.0,37.0,34.0,1.0625,1.0,1.25,3.625,2.5,3.4375,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.5
2,Falcon-3-1B-Instruct,26.0,37.0,54.0,3.0,3.0,3.0,3.25,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5
3,Falcon-3-7B-Instruct,31.0,48.0,40.0,1.0625,1.5,1.4375,4.25,2.1875,3.0,7.0,7.0,5.5,7.0,7.0,7.0,7.0,0.5
4,LFM2-1.2B,34.0,40.0,64.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5
5,LFM2-2.6B,36.0,52.0,41.0,2.0,2.25,2.5,4.125,3.1875,3.75,6.0,6.0,6.0,7.0,6.5,6.0,8.0,0.375
6,LFM2-8B-A1B,40.0,53.0,53.0,3.0,3.0,2.8125,3.0,3.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,0.375
7,Llama-3.1-8B-Instruct,22.0,43.0,31.0,1.5,1.0,2.5625,3.5,2.3125,3.5625,7.0,7.5,5.0,4.5,6.5,6.5,2.5,0.625
8,Llama-3.2-1B-Instruct,40.0,55.0,55.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.625
9,Llama-3.2-3B-Instruct,40.0,55.0,53.0,3.0,3.0,3.0,3.0,3.0,3.1875,8.5,8.0,6.0,6.0,5.5,6.0,6.0,0.5
10,Ministral-8B-Instruct-2410,32.0,59.0,38.0,1.25,1.75,2.125,4.375,2.75,3.9375,6.0,6.5,5.5,7.0,6.0,8.0,4.5,0.375
11,Mistral-7B-Instruct-v0.3,45.0,48.0,51.0,2.8125,3.0,2.8125,4.0,3.5,3.1875,5.0,6.0,8.0,6.5,6.0,6.0,8.5,0.75
12,Mistral-Small-24B-Instruct-2501,25.0,42.0,42.0,1.0,1.25,1.625,3.625,2.5625,3.8125,6.0,5.5,5.0,3.0,6.5,8.5,8.0,0.25
13,OLMo-2-7B-Instruct,40.0,55.0,55.0,1.3125,2.75,2.25,3.5,2.625,3.375,6.0,6.0,6.0,3.5,6.0,6.0,5.5,0.125
14,Phi-3-medium-128k-instruct,45.0,52.0,52.0,3.0,2.625,2.5,2.25,2.625,2.8125,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5
15,Phi-3-mini-128k-instruct,40.0,59.0,56.0,3.0,2.875,3.0,3.5,3.3125,3.5,6.0,6.0,6.0,6.0,6.0,6.0,6.5,0.5
16,Phi-3.5-mini-instruct,36.0,49.0,45.0,1.5,2.0,1.9375,4.0,2.75,3.25,6.0,6.0,7.5,6.0,6.0,6.0,6.0,0.5
17,Qwen2.5-1.5B-Instruct,35.0,49.0,52.0,2.5625,3.625,2.375,4.625,3.4375,4.0,6.0,9.5,5.0,6.0,5.5,6.0,6.0,0.375
18,Qwen2.5-14B-Instruct,31.0,42.0,49.0,1.0,2.25,2.0,4.0,2.875,4.25,6.0,6.0,6.0,4.0,6.0,7.5,6.0,0.125
19,Qwen2.5-32B-Instruct,26.0,37.0,47.0,1.0,1.0,1.125,4.5,2.375,4.75,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.375
20,Qwen2.5-3B-Instruct,36.0,55.0,39.0,1.0,1.0,1.125,2.875,1.3125,3.5,9.0,7.5,6.5,2.5,5.0,7.5,6.0,0.375
21,Qwen2.5-7B-Instruct,36.0,50.0,47.0,1.0,3.0,2.0,3.625,2.5,3.75,6.5,6.5,6.5,6.0,6.5,5.5,6.0,0.25
22,Qwen3-1.7B,38.0,55.0,57.0,2.8125,3.0,3.125,3.125,3.0,3.4375,6.5,7.5,6.0,7.5,7.5,6.5,6.5,0.5
23,Qwen3-14B,47.0,70.0,45.0,2.6875,2.75,3.0625,3.875,3.1875,3.5625,4.0,6.0,3.5,3.5,5.0,3.5,4.0,0.625
24,Qwen3-30B-A3B-Instruct-2507,31.0,49.0,27.0,1.0,1.0,1.6875,4.125,2.625,4.375,6.0,5.0,7.0,6.5,7.5,6.0,6.5,0.625
25,Qwen3-32B,43.0,58.0,44.0,2.25,3.0,2.6875,3.75,2.9375,3.5,5.5,9.5,6.0,4.5,5.0,6.0,7.5,0.625
26,Qwen3-4B,41.0,56.0,52.0,1.1875,1.375,1.75,4.125,2.5625,4.0,6.5,6.5,6.5,6.5,6.0,6.5,6.5,0.5
27,Qwen3-8B,41.0,69.0,64.0,2.5625,1.75,3.1875,3.375,3.0,3.4375,5.5,3.0,7.5,9.5,4.5,9.0,7.5,0.625
28,SmolLM3-3B,40.0,52.0,49.0,2.625,2.75,2.875,2.75,3.0,2.8125,6.0,6.0,6.0,7.5,7.0,7.5,6.0,0.625
29,TildeOpen-30b,37.0,53.0,55.0,3.1875,2.8333333333333335,2.25,3.125,3.2142857142857144,2.8666666666666667,5.0,4.0,5.5,6.5,5.5,7.5,7.5,0.375
30,bloomz-3b,40.0,59.0,56.0,3.25,3.0,3.25,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.375
31,bloomz-7b1,46.0,73.0,43.0,5.0,4.5,5.0,5.0,5.0,4.75,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5
32,gemma-2-27b-it,34.0,56.0,49.0,1.75,1.875,2.5,3.25,2.6875,3.6875,7.0,6.0,4.5,6.0,5.5,5.5,5.5,0.5
33,gemma-2-2b-it,35.0,57.0,57.0,1.8125,3.125,1.875,3.5,2.75,3.25,7.0,9.0,8.5,7.5,6.5,7.5,8.5,0.5
34,gemma-2-9b-it,32.0,53.0,54.0,2.3125,2.75,1.875,3.5,2.875,3.5,6.0,3.5,6.5,4.5,6.0,8.5,7.5,0.125
35,gemma-3-12b-it,39.0,53.0,49.0,2.0625,1.5,2.0,2.75,2.625,3.75,6.5,8.0,4.5,4.0,7.0,9.0,6.5,0.625
36,gemma-3-1b-it,34.0,48.0,66.0,2.4375,2.875,3.25,3.75,3.1875,3.0,6.0,6.0,5.5,6.5,6.0,6.0,5.0,0.75
37,gemma-3-27b-it,43.0,56.0,46.0,2.0625,2.625,3.0,4.25,2.1875,3.8125,6.0,5.5,7.0,4.0,7.5,8.0,3.5,0.5
38,gemma-3-4b-it,47.0,52.0,54.0,2.3125,2.5,2.6875,4.0,2.875,3.0,6.0,6.0,5.5,7.5,5.5,6.5,6.0,0.625
39,gpt-oss-20b,46.0,51.0,54.0,3.1875,3.125,2.75,3.625,2.6875,3.0,7.5,2.5,6.5,3.0,3.5,6.5,8.0,0.5
40,granite-3.3-2b-instruct,32.0,45.0,43.0,2.4375,3.625,3.0,3.75,3.8125,3.8125,7.0,7.0,8.5,7.5,6.5,7.0,6.5,0.5
41,granite-3.3-8b-instruct,41.0,57.0,48.0,1.0,1.5,1.4375,4.0,2.3125,3.6875,6.0,6.5,6.5,6.5,6.5,6.0,6.5,0.5
42,zephyr-7b-beta,44.0,64.0,64.0,2.0,1.25,1.9375,3.0,2.9375,3.25,5.5,6.5,7.5,6.0,5.5,5.0,7.0,0.375
